"country","daily","revenue"
"Afghanistan","2007-2-15","2.99"
"Afghanistan","2007-2-18","1.98"
"Afghanistan","2007-3-17","2.99"
"Afghanistan","2007-3-18","2.99"
"Afghanistan","2007-3-19","0.99"
"Afghanistan","2007-3-20","11.98"
"Afghanistan","2007-3-22","4.99"
"Afghanistan","2007-3-23","0.99"
"Afghanistan","2007-4-10","0.99"
"Afghanistan","2007-4-27","13.98"
"Afghanistan","2007-4-30","14.97"
"Afghanistan","2007-4-8","6.99"
"Afghanistan","2007-4-9","0.99"
"Algeria","2007-2-15","5.99"
"Algeria","2007-2-16","22.96"
"Algeria","2007-2-17","8.99"
"Algeria","2007-2-18","12.96"
"Algeria","2007-2-20","4.99"
"Algeria","2007-2-21","4.99"
"Algeria","2007-3-1","8.96"
"Algeria","2007-3-17","15.96"
"Algeria","2007-3-18","5.98"
"Algeria","2007-3-19","28.95"
"Algeria","2007-3-2","1.99"
"Algeria","2007-3-20","17.97"
"Algeria","2007-3-21","14.95"
"Algeria","2007-3-22","8.98"
"Algeria","2007-3-23","7.98"
"Algeria","2007-4-10","4.98"
"Algeria","2007-4-11","21.96"
"Algeria","2007-4-12","14.97"
"Algeria","2007-4-26","5.99"
"Algeria","2007-4-27","13.96"
"Algeria","2007-4-28","8.98"
"Algeria","2007-4-29","25.94"
"Algeria","2007-4-30","29.93"
"Algeria","2007-4-6","24.95"
"Algeria","2007-4-7","15.95"
"Algeria","2007-4-9","2.99"
"Algeria","2007-5-14","5.98"
"American Samoa","2007-3-16","2.99"
"American Samoa","2007-3-2","0.99"
"American Samoa","2007-3-21","0.99"
"American Samoa","2007-3-22","2.99"
"American Samoa","2007-4-27","8.98"
"American Samoa","2007-4-28","15.96"
"American Samoa","2007-4-29","4.99"
"American Samoa","2007-4-30","0.99"
"American Samoa","2007-4-5","0.99"
"American Samoa","2007-4-6","4.99"
"American Samoa","2007-4-7","2.99"
"Angola","2007-2-16","7.99"
"Angola","2007-2-17","7.98"
"Angola","2007-2-18","8.97"
"Angola","2007-2-19","7.99"
"Angola","2007-2-20","2.99"
"Angola","2007-3-1","8.97"
"Angola","2007-3-17","2.99"
"Angola","2007-3-18","8.98"
"Angola","2007-3-2","6.97"
"Angola","2007-3-20","15.97"
"Angola","2007-3-21","7.98"
"Angola","2007-3-22","1.99"
"Angola","2007-3-23","13.98"
"Angola","2007-4-11","5.98"
"Angola","2007-4-12","5.98"
"Angola","2007-4-27","11.98"
"Angola","2007-4-28","4.99"
"Angola","2007-4-29","7.97"
"Angola","2007-4-30","14.96"
"Angola","2007-4-6","5.98"
"Angola","2007-4-7","9.99"
"Angola","2007-4-8","11.98"
"Angola","2007-4-9","3.99"
"Anguilla","2007-2-15","3.99"
"Anguilla","2007-2-17","1.99"
"Anguilla","2007-2-18","7.98"
"Anguilla","2007-2-21","2.99"
"Anguilla","2007-3-1","1.98"
"Anguilla","2007-3-16","2.99"
"Anguilla","2007-3-17","2.99"
"Anguilla","2007-3-18","7.98"
"Anguilla","2007-3-19","9.98"
"Anguilla","2007-3-20","3.98"
"Anguilla","2007-3-21","4.99"
"Anguilla","2007-3-22","4.99"
"Anguilla","2007-3-23","4.99"
"Anguilla","2007-4-10","0.99"
"Anguilla","2007-4-11","7.98"
"Anguilla","2007-4-12","2.99"
"Anguilla","2007-4-27","5.98"
"Anguilla","2007-4-29","0.99"
"Anguilla","2007-4-30","13.96"
"Anguilla","2007-4-6","3.98"
"Anguilla","2007-4-8","0.99"
"Argentina","2007-2-15","53.88"
"Argentina","2007-2-16","6.97"
"Argentina","2007-2-17","22.94"
"Argentina","2007-2-18","11.96"
"Argentina","2007-2-19","36.92"
"Argentina","2007-2-20","21.94"
"Argentina","2007-2-21","10.98"
"Argentina","2007-3-1","49.88"
"Argentina","2007-3-16","2.99"
"Argentina","2007-3-17","28.93"
"Argentina","2007-3-18","37.90"
"Argentina","2007-3-19","26.91"
"Argentina","2007-3-2","74.86"
"Argentina","2007-3-20","53.86"
"Argentina","2007-3-21","77.81"
"Argentina","2007-3-22","56.85"
"Argentina","2007-3-23","45.91"
"Argentina","2007-4-10","29.92"
"Argentina","2007-4-11","37.90"
"Argentina","2007-4-12","39.89"
"Argentina","2007-4-26","9.98"
"Argentina","2007-4-27","71.81"
"Argentina","2007-4-28","52.87"
"Argentina","2007-4-29","50.87"
"Argentina","2007-4-30","140.66"
"Argentina","2007-4-5","5.98"
"Argentina","2007-4-6","59.89"
"Argentina","2007-4-7","53.86"
"Argentina","2007-4-8","41.93"
"Argentina","2007-4-9","54.84"
"Argentina","2007-5-14","26.91"
"Armenia","2007-2-19","4.99"
"Armenia","2007-2-21","7.99"
"Armenia","2007-3-1","10.98"
"Armenia","2007-3-17","6.98"
"Armenia","2007-3-18","0.99"
"Armenia","2007-3-21","7.99"
"Armenia","2007-3-23","4.99"
"Armenia","2007-4-26","4.99"
"Armenia","2007-4-27","6.98"
"Armenia","2007-4-28","17.96"
"Armenia","2007-4-29","2.99"
"Armenia","2007-4-30","16.97"
"Armenia","2007-4-6","2.99"
"Armenia","2007-4-7","9.99"
"Armenia","2007-4-8","7.98"
"Armenia","2007-5-14","2.99"
"Austria","2007-2-14","2.99"
"Austria","2007-2-15","5.99"
"Austria","2007-2-16","0.99"
"Austria","2007-2-17","4.99"
"Austria","2007-2-18","4.99"
"Austria","2007-2-19","3.98"
"Austria","2007-2-20","9.98"
"Austria","2007-2-21","5.98"
"Austria","2007-3-1","10.98"
"Austria","2007-3-17","4.97"
"Austria","2007-3-18","29.94"
"Austria","2007-3-19","10.98"
"Austria","2007-3-2","21.96"
"Austria","2007-3-20","9.97"
"Austria","2007-3-21","14.97"
"Austria","2007-3-22","9.96"
